"MessageTraceId","Detail"
"02f16560-2459-4e7b-b2a5-08dc6b7853f8","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"2f3c639c-5153-419e-e386-08dc6b785334","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:52:54 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"6c2809c9-c8c6-43ee-0960-08dc6b785322","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"92fc7d7e-7f88-476b-04db-08dc6b785212","Reason: [{LED=500 5.7.0 invalid address};{MSG=};{FQDN=mx.public.govdelivery.com};{IP=66.117.61.27};{LRT=5/3/2024 1:52:52 PM}]. OutboundProxyTargetIP: 66.117.61.27. OutboundProxyTargetHostName: mx.public.govdelivery.com"
"629e1bce-4723-4a7b-8eea-08dc6b7851b4","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"31abba45-502c-461d-3235-08dc6b784fb6","Reason: [{LED=250 2.1.5 RESOLVER.OOF.IntToExt; handled internal OOF addressed to external recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"0538de38-ddd0-4a21-27de-08dc6b784f92","Reason: [Stage: DeliverPreDelivery];StoreDriver.Rules; message is deleted by mailbox rules"
"1ac2eac5-c952-42ff-ad80-08dc6b784ce3","Reason: [{LED=250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded};{MSG=};{FQDN=};{IP=};{LRT=}]"
"ef722a07-7eb7-4f57-54c9-08dc6b784ccd","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
"da114ee5-3d23-457b-bffb-08dc6b7849a1","Reason: [{LED=250 2.1.5 RESOLVER.OOF.ExtToInt; handled external OOF addressed to internal recipient};{MSG=};{FQDN=};{IP=};{LRT=}]"
